id_comprador;nombre;apellido;email;documento;domicilio;telefono
;Juan;Garcia;juangarcia@mail.com;52448914;Bulevar Artigas 1246;99009550
;Pedro;Rodriguez;pedrorodriguez@mail.com;10742855;Avenida 18 de Julio 1530;99370258
;Ana;Gonzalez;anagonzalez@mail.com;47311786;Rambla Republica del Peru 1021;98823295
;Maria;Fernandez;mariafernandez@mail.com;15868443;Canelones 1345;99397228
;Gonzalo;Lopez;gonzalolopez@mail.com;41792332;Jackson 890;98007061
;Victoria;Martinez;victoriamartinez@mail.com;25152843;Joaquin Requena 711;99817881
;Valentina;Perez;valentinaperez@mail.com;16599626;Juan Paullier 1234;98130591
;Martina;Sanchez;martinasanchez@mail.com;32259285;Rivera 3205;98363945
;Clara;Ramirez;clararamirez@mail.com;19297540;Colonia 2048;98558883
;Ricardo;Torres;ricardotorres@mail.com;52731792;San Jose 1680;99651452
;Mariana;Diaz;marianadiaz@mail.com;11228154;Avenida Brasil 4567;99160405
;Jorge;Gomez;jorgegomez@mail.com;55506297;Bulevar Artigas 1144;99060398
;Luis;Alvarez;luisalvarez@mail.com;56708006;Millan 3010;98541361
;Jose;Herrera;joseherrera@mail.com;17509857;Luis Alberto de Herrera 920;99308590
;Fernando;Vargas;fernandovargas@mail.com;58517445;General Flores 2120;99457794
;Martin;Castro;martincastro@mail.com;58340844;Ejido 545;98181292
;Bruno;Morales;brunomorales@mail.com;28466704;Agraciada 3991;98468268
;Lucia;Mendoza;luciamendoza@mail.com;38028589;Garibaldi 1508;98012539
;Juana;Ortega;juanaortega@mail.com;39139439;Mercedes 999;99023986
